FID_INEX,X_COORD,Y_COORD
0,146.31538461538,117.93846153846
1,144.28811188811,2465.6748251748
3,673.22094017094,2465.5792022792
2,675.35741360089,117.84425863991
5,1202.3442060537,2465.3385982626
4,1204.5257589246,117.81548166149
7,1731.9559476039,2465.1400099634
6,1734.1037001011,117.77871695561
9,2260.7770945965,2465.0823866804
8,2263.3050987025,117.83466101156
11,2789.7989040122,2464.9912981797
10,2792.0668634084,117.62142571744
13,3319.0357954472,2464.977736397
12,3321.5315250625,117.57631293548
15,3846.6315250625,2464.6217674809
14,3849.1315250625,117.28173929207
17,4375.8576511886,2464.4790365894
16,4378.5598832715,117.12502287416
19,4905.9902404143,2464.792880017
18,4908.3403343993,117.3881807689
21,5439.6284077938,2464.5450615028
20,5442.0129150445,117.24301947858
23,5964.586599255,2464.4061773733
22,5967.0467385739,117.12537241975
25,6491.6467385739,2464.3674776829
24,6494.5028536818,117.00307026148
27,7019.8528536818,2464.8082426753
26,7022.5504061293,117.08698634539
29,7548.8226750369,2464.5920283622
28,7551.4575489865,117.03698634539
31,8077.919617952,2464.721469104
30,8080.4800841977,117.08628212004
33,8607.0377113164,2464.5625533065
32,8609.7657984835,117.00056783433
35,9136.3657984835,2464.6744808778
34,9138.9629207856,116.98617934512
37,9665.7325636428,2464.6986793451
36,9668.5629207856,116.98617934512
39,10195.137497057,2464.6149929044
38,10197.743340366,117.02114438008
41,10725.292058315,2464.5365289955
43,11253.775273139,2464.5093796742
42,11255.979836716,116.98464802972
45,11517.909147061,2464.6001652711
44,11520.30189554,117.0214127356
47,11782.576254514,2464.3060281202
46,11784.940130834,116.92582450031
49,12311.281202263,2464.6204673575
48,12313.51687502,117.15838263984
51,12840.292313617,2464.1548738679
50,12842.468020058,116.69273378488
53,13370.04983824,2464.3200065122
52,13372.168020058,116.99273378488
55,13898.33439174,2464.0431762628
54,13900.275482745,116.59721139682
57,14427.613800502,2463.8990805557
56,14429.356398775,116.50560834339
59,14956.938541633,2463.7448940577
58,14958.963974533,116.4374265252
61,15485.781365837,2463.4678613078
60,15487.841346796,116.1673535325
63,16015.160645041,2463.2077044097
62,16016.977061081,115.98878210393
65,16544.550512409,2463.2693130774
64,16546.555002258,115.95201739805
67,17073.970791732,2463.0888595033
66,17075.658705962,115.74460999064
69,17602.627127014,2462.7849608678
68,17604.494420247,115.58032427636
71,18131.882030867,2462.4183773737
70,18133.708056611,115.01214245818
73,18661.941985182,2462.0639281725
72,18663.691515258,114.62116501457
75,19190.415409063,2461.7866517402
74,19192.386405769,114.49707742333
77,19720.161844365,2461.4935686514
76,19722.039037347,114.01587441581
79,20249.774172483,2461.2942527942
78,20252.053323062,113.89444584438
81,20778.590259999,2461.1007521507
80,20780.616009629,113.78996823244
83,21307.461623664,2460.8566348991
82,21309.997031527,113.54909232003
85,21837.260748341,2460.5641365678
84,21839.773502115,113.32115114356
87,22364.873502115,2460.3073580401
86,22367.366094708,113.18041040282
89,22893.92145185,2460.3482675457
88,22896.518333514,112.96399249237
