J2000X,J2000Y,J2000Z,J2000XV,J2000YV,J2000ZV,ET
-101712663.62375,103751899.22911,45008256.416322,-22.62563902356,-18.440496893686,-8.0883904775823,-896556653.92828
-101712664.1186,103751898.8258,45008256.23942,-22.625638924898,-18.440497032995,-8.0883905412136,-896556653.9064
-101712664.61345,103751898.42248,45008256.062518,-22.625638826237,-18.440497172304,-8.0883906048458,-896556653.88453
-101712665.10829,103751898.01917,45008255.885617,-22.625638727575,-18.440497311611,-8.0883906684769,-896556653.86266
-101712665.60314,103751897.61586,45008255.708715,-22.625638628914,-18.440497450922,-8.0883907321078,-896556653.84079
-101712666.09799,103751897.21254,45008255.531813,-22.625638530253,-18.440497590232,-8.0883907957393,-896556653.81892
-101712666.59284,103751896.80923,45008255.354911,-22.62563843159,-18.440497729539,-8.0883908593714,-896556653.79705
-101712667.08768,103751896.40592,45008255.178009,-22.62563833293,-18.44049786885,-8.0883909230025,-896556653.77518
-101712667.58253,103751896.0026,45008255.001107,-22.625638234268,-18.44049800816,-8.0883909866344,-896556653.75331
-101712668.07737,103751895.59929,45008254.824206,-22.625638135608,-18.440498147468,-8.0883910502651,-896556653.73144
-101712668.57222,103751895.19598,45008254.647304,-22.625638036945,-18.440498286777,-8.0883911138965,-896556653.70957
-101712669.06707,103751894.79266,45008254.470402,-22.625637938285,-18.440498426087,-8.0883911775286,-896556653.68769
-101712669.56192,103751894.38935,45008254.293501,-22.625637839622,-18.440498565395,-8.0883912411599,-896556653.66582
-101712670.05676,103751893.98603,45008254.116599,-22.625637740962,-18.440498704707,-8.0883913047911,-896556653.64395
-101712670.55161,103751893.58272,45008253.939697,-22.625637642299,-18.440498844015,-8.088391368422,-896556653.62208
-101712671.04646,103751893.17941,45008253.762796,-22.625637543638,-18.440498983323,-8.0883914320537,-896556653.60021
-101712671.5413,103751892.7761,45008253.585894,-22.625637444977,-18.440499122633,-8.0883914956853,-896556653.57834
-101712672.03615,103751892.37278,45008253.408992,-22.625637346315,-18.440499261942,-8.0883915593169,-896556653.55647
-101712672.531,103751891.96947,45008253.23209,-22.625637247654,-18.440499401251,-8.0883916229474,-896556653.5346
-101712673.02585,103751891.56615,45008253.055188,-22.625637148992,-18.440499540561,-8.0883916865792,-896556653.51273
-101712673.52069,103751891.16284,45008252.878286,-22.625637050332,-18.440499679871,-8.0883917502111,-896556653.49085
-101712674.01554,103751890.75953,45008252.701385,-22.62563695167,-18.440499819179,-8.0883918138418,-896556653.46898
-101712674.51039,103751890.35622,45008252.524483,-22.625636853009,-18.440499958489,-8.0883918774737,-896556653.44711
-101712675.00523,103751889.9529,45008252.347581,-22.625636754347,-18.440500097798,-8.0883919411055,-896556653.42524
-101712675.50008,103751889.54959,45008252.170679,-22.625636655685,-18.440500237106,-8.0883920047366,-896556653.40337
-101712675.99493,103751889.14627,45008251.993777,-22.625636557025,-18.440500376417,-8.0883920683679,-896556653.3815
-101712676.48977,103751888.74296,45008251.816876,-22.625636458362,-18.440500515724,-8.0883921319989,-896556653.35963
-101712676.98462,103751888.33965,45008251.639974,-22.625636359701,-18.440500655034,-8.0883921956301,-896556653.33776
-101712677.47947,103751887.93633,45008251.463072,-22.625636261039,-18.440500794344,-8.0883922592615,-896556653.31589
-101712677.97431,103751887.53302,45008251.28617,-22.625636162378,-18.440500933653,-8.0883923228936,-896556653.29401
-101712678.46916,103751887.12971,45008251.109268,-22.625636063716,-18.440501072962,-8.0883923865256,-896556653.27214
-101712678.96401,103751886.72639,45008250.932366,-22.625635965055,-18.440501212272,-8.0883924501561,-896556653.25027
